Two Nights in Lisbon;Chris Pavone;3,73;436;32669;3935;2022-05-24;2022;Mystery
Don't Cry for Me;Daniel   Black;4,35;301;13062;2096;2022-02-01;2022;Fiction
Patricia Wants to Cuddle;Samantha Allen;3,56;256;14232;3571;2022-06-28;2022;Horror
For the Throne;Hannah F. Whitten;3,83;457;14524;2094;2022-06-07;2022;Fantasy
God of Wrath;Rina Kent;4,18;492;69574;6965;2022-11-17;2022;Romance
Life Ceremony;Sayaka Murata;3,75;256;19183;3563;2019-10-01;2019;Short Stories
Exiles;Jane Harper;4,05;356;61500;6101;2022-09-20;2022;Mystery
Court;Tracy Wolff;4,16;720;62140;4897;2022-02-01;2022;Fantasy
Sister Mother Warrior;Vanessa Riley;3,92;480;728;163;2022-07-12;2022;Historical Fiction
Signal Moon: A Short Story;Kate Quinn;4,33;57;24217;2160;2022-08-01;2022;Historical Fiction
Where the Sky Begins;Rhys Bowen;4,33;364;26553;1138;2022-08-02;2022;Historical Fiction
Fox Creek;William Kent Krueger;4,22;388;14806;1398;2022-08-23;2022;Mystery
The Codebreaker's Secret;Sara Ackerman;4,12;384;8334;843;2022-08-02;2022;Historical Fiction
Mad About You;Mhairi McFarlane;3,84;432;29345;3447;2022-04-14;2022;Romance
The Foundling;Ann Leary;3,89;336;12500;1343;2022-05-31;2022;Historical Fiction
Thrust;Lidia Yuknavitch;3,54;352;2081;437;2022-06-28;2022;Fantasy
Well Traveled;Jen DeLuca;3,79;305;14027;1988;2022-12-06;2022;Romance
Joan;Katherine J. Chen;3,96;368;7232;1196;2022-07-05;2022;Historical Fiction
The Woman in the Library;Sulari Gentill;3,51;288;71639;11301;2022-06-07;2022;Mystery
Dinosaurs;Lydia Millet;3,88;230;10496;1631;2022-10-11;2022;Fiction
An Inconvenient Vow;Alice Coldbreath;4,22;502;2465;287;2022-02-15;2022;Historical Romance
The Hourglass Throne;K.D. Edwards;4,58;375;4837;790;2022-05-17;2022;Fantasy
Dark Country;Monique Snyman;4,2;256;95;43;2022-05-17;2022;Horror
A Thousand Moments;Kelly Moran;3,75;85;165;69;2022-06-07;2022;Contemporary Romance
The Next Ship Home;Heather Webb;4,17;421;8260;945;2022-02-08;2022;Historical Fiction
Honor;Thrity Umrigar;4,37;326;59916;5797;2022-01-04;2022;Fiction
Night of the Living Rez;Morgan Talty;3,91;285;10670;1532;2022-07-05;2022;Short Stories
Where the Blue Sky Begins;Katie Powner;4,3;352;760;226;2022-10-01;2022;Christian Fiction
Wishtress;Nadine Brandes;4,03;453;2402;764;2022-09-13;2022;Fantasy
Now Is Not the Time to Panic;Kevin  Wilson;3,69;246;55199;6859;2022-11-15;2022;Fiction
Funny You Should Ask;Elissa Sussman;3,59;352;125937;18944;2022-04-12;2022;Romance
The Premonition at Withers Farm;Jaime Jo Wright;4,3;400;906;294;2022-10-11;2022;Christian Fiction
The Sunbearer Trials;Aiden Thomas;4,34;352;18684;4338;2022-09-06;2022;Fantasy
Unlikely Animals;Annie Hartnett;4,09;348;19609;3464;2022-04-12;2022;Fiction
The Crossing Gate;Asiel R. Lavie;3,93;416;240;116;2022-01-04;2022;Fantasy
Pure Colour;Sheila Heti;3,47;224;16743;3630;2022-02-15;2022;Fiction
The Passenger;Cormac McCarthy;3,58;385;30918;4898;2022-10-25;2022;Fiction
Do You Remember?;Freida McFadden;4,06;333;57910;3121;2022-01-10;2022;Thriller
The First to Die at the End;Adam Silvera;4,02;560;89006;10181;2022-10-04;2022;Romance
The Darkening;Sunya Mara;3,58;400;7716;1580;2022-07-05;2022;Fantasy
